date,open,high,low,close,volume,ticker,change
2020-04-13,23698.9297,23698.9297,23095.3496,23390.7695,396556314.0,DJI,
2020-04-09,23690.6602,24008.9902,23504.0898,23719.3691,566400000.0,DJI,0.014048259506811
2020-04-08,22893.4707,23513.4004,22682.9902,23433.5703,472740000.0,DJI,-0.0120491737699718
2020-04-07,23537.4395,23617.2402,22634.4492,22653.8594,594660000.0,DJI,-0.033273243898306
2020-04-06,21693.6309,22783.4492,21693.6309,22679.9902,610760000.0,DJI,0.00115348115915292
2020-04-03,21285.9297,21447.8105,20863.0898,21052.5293,450010000.0,DJI,-0.0717575662797245
2020-04-02,20819.4609,21477.7695,20735.0195,21413.4395,529540000.0,DJI,0.0171433177865237
2020-04-01,21227.3809,21487.2402,20784.4297,20943.5098,506680000.0,DJI,-0.0219455496628648
2020-03-31,22208.4199,22480.3691,21852.0801,21917.1602,571210000.0,DJI,0.0464893615873305
2020-03-30,21678.2207,22378.0898,21522.0801,22327.4805,545540000.0,DJI,0.0187214172025809
2020-03-27,21898.4707,22327.5703,21469.2695,21636.7793,588830000.0,DJI,-0.0309350264576428
2020-03-26,21468.3809,22595.0605,21427.0996,22552.1699,705180000.0,DJI,0.0423071561302104
2020-03-25,21050.3398,22019.9297,20538.3398,21200.5508,796320000.0,DJI,-0.0599329956271747
2020-03-24,19722.1895,20737.6992,19649.25,20704.9102,799340000.0,DJI,-0.023378666180692
2020-03-23,19028.3594,19121.0098,18213.6504,18591.9297,787970000.0,DJI,-0.102052145099378
2020-03-20,20253.1504,20531.2598,19094.2695,19173.9805,872290000.0,DJI,0.0313066373094129
2020-03-19,19830.0098,20442.6309,19177.1309,20087.1895,780300000.0,DJI,0.0476275127118231
2020-03-18,20188.6895,20489.3301,18917.4609,19898.9199,871360000.0,DJI,-0.0093726202961345
2020-03-17,20487.0508,21379.3496,19882.2598,21237.3809,793060000.0,DJI,0.0672629975258103
2020-03-16,20917.5293,21768.2793,20116.4609,20188.5195,770130000.0,DJI,-0.0493875118094248
2020-03-13,21973.8203,23189.7598,21285.3691,23185.6191,843080000.0,DJI,0.148455640840826
2020-03-12,22184.7109,22837.9492,21154.4609,21200.6191,908260000.0,DJI,-0.0856134137043595
2020-03-11,24604.6309,24604.6309,23328.3203,23553.2207,663960000.0,DJI,0.110968532989681
2020-03-10,24453.0,25020.9902,23690.3398,25018.1602,654860000.0,DJI,0.0621969928724013
2020-03-09,24992.3594,24992.3594,23706.0703,23851.0195,750430000.0,DJI,-0.0466517398029932
2020-03-06,25457.2109,25994.3809,25226.6191,25864.7793,599780000.0,DJI,0.0844307640602113
2020-03-05,26671.9199,26671.9199,25943.3301,26121.2793,477370000.0,DJI,0.00991696070648485
2020-03-04,26383.6797,27102.3398,26286.3105,27090.8594,457590000.0,DJI,0.0371184002461933
2020-03-03,26762.4707,27084.5898,25706.2793,25917.4102,647080000.0,DJI,-0.0433153183763525
2020-03-02,25590.5098,26706.1699,25391.9609,26703.3203,637200000.0,DJI,0.0303236354996612
2020-02-28,25270.8301,25494.2402,24681.0098,25409.3594,915990000.0,DJI,-0.048456929155735
2020-02-27,26526.0,26775.3105,25752.8203,25766.6406,664980000.0,DJI,0.0140610077718055
2020-02-26,27159.4609,27542.7793,26890.9707,26957.5898,472450000.0,DJI,0.0462205849217303
2020-02-25,28037.6504,28149.1992,26997.6191,27081.3594,513270000.0,DJI,0.00459127098966383
2020-02-24,28402.9297,28402.9297,27912.4395,27960.8008,452580000.0,DJI,0.032474049290155
2020-02-21,29146.5293,29146.5293,28892.6992,28992.4102,311210000.0,DJI,0.036894844585424
2020-02-20,29296.25,29368.4492,28959.6504,29219.9805,287780000.0,DJI,0.00784930602285705
2020-02-19,29312.6992,29409.0898,29274.3809,29348.0293,240640000.0,DJI,0.00438223427288031
2020-02-18,29282.7793,29330.1602,29116.8105,29232.1895,256600000.0,DJI,-0.00394710659499031
2020-02-14,29440.4707,29463.0391,29283.1797,29398.0801,231000000.0,DJI,0.00567492900249555
2020-02-13,29436.0293,29535.4004,29345.9297,29423.3105,291150000.0,DJI,0.00085823291569298
2020-02-12,29406.75,29568.5703,29406.75,29551.4199,309530000.0,DJI,0.00435401040273842
2020-02-11,29390.7109,29415.3906,29210.4707,29276.3398,279540000.0,DJI,-0.00930852395353088
2020-02-10,28995.6602,29278.0703,28995.6602,29276.8203,250510000.0,DJI,1.64125708090879e-05
2020-02-07,29286.9199,29286.9199,29056.9805,29102.5098,252860000.0,DJI,-0.00595387402777481
2020-02-06,29388.5801,29408.0508,29246.9297,29379.7695,263700000.0,DJI,0.00952700306280807
2020-02-05,29048.7305,29308.8906,29000.8496,29290.8496,357540000.0,DJI,-0.00302656901375609
2020-02-04,28696.7402,28904.8809,28696.7402,28807.6309,332750000.0,DJI,-0.0164972579013208
2020-02-03,28319.6504,28630.3906,28319.6504,28399.8105,307910000.0,DJI,-0.0141566795761744
2020-01-31,28813.0391,28813.0391,28169.5293,28256.0293,403890000.0,DJI,-0.00506275209125084
2020-01-30,28640.1602,28879.7109,28489.7598,28859.4395,326850000.0,DJI,0.0213550953530475
2020-01-29,28820.5293,28944.2402,28728.1895,28734.4492,302290000.0,DJI,-0.00433100233980643
2020-01-28,28594.2793,28823.2305,28575.75,28722.8496,330140000.0,DJI,-0.00040368269874469
2020-01-27,28542.4902,28671.7891,28440.4707,28535.8008,337270000.0,DJI,-0.00651219508526757
2020-01-24,29230.3906,29288.7891,28843.3105,28989.7305,380010000.0,DJI,0.0159073755519068
2020-01-23,29111.0195,29190.4707,28966.9805,29160.0898,307060000.0,DJI,0.00587653962495449
2020-01-22,29263.6309,29320.1992,29172.2598,29186.2695,283440000.0,DJI,0.00089779215974839
2020-01-21,29269.0508,29341.2109,29146.4707,29196.0391,320640000.0,DJI,0.00033473274136675
2020-01-17,29313.3105,29373.6191,29289.9102,29348.0996,321820000.0,DJI,0.00520825785577195
2020-01-16,29131.9492,29300.3203,29131.9492,29297.6406,252110000.0,DJI,-0.00171932768007921
2020-01-15,28901.8008,29127.5898,28897.3496,29030.2207,260270000.0,DJI,-0.00912769405738412
2020-01-14,28895.5,29054.1602,28872.2695,28939.6699,287440000.0,DJI,-0.00311919089199353
2020-01-13,28869.0098,28909.9102,28819.4297,28907.0508,249830000.0,DJI,-0.00112714139838888
2020-01-10,28977.5195,29009.0703,28789.0996,28823.7695,237830000.0,DJI,-0.00288100299737259
2020-01-09,28851.9707,28988.0098,28844.3105,28956.9004,275060000.0,DJI,0.00461878867023269
2020-01-08,28556.1406,28866.1797,28522.5098,28745.0898,291750000.0,DJI,-0.00731468482724751
2020-01-07,28639.1797,28685.5,28565.2793,28583.6797,258900000.0,DJI,-0.00561522336938403
2020-01-06,28465.5,28708.0195,28418.6309,28703.3809,252760000.0,DJI,0.00418774633834151
2020-01-03,28553.3301,28716.3105,28500.3594,28634.8809,239590000.0,DJI,-0.00238647845139384
2020-01-02,28638.9707,28872.8008,28627.7695,28868.8008,251820000.0,DJI,0.00816905440664861
2019-12-31,28414.6406,28547.3496,28376.4902,28538.4395,193340000.0,DJI,-0.0114435408068631
2019-12-30,28654.7598,28664.6895,28428.9805,28462.1406,181600000.0,DJI,-0.00267354842579959
